Land Use,Property Address,Sale Date,Sale Price,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath,SaleDT
SINGLE FAMILY,3725  ESTES RD,2014-08-07,442000.0,0.41,3228,270000.0,170200.0,440200.0,1979.0,FULL BSMT,1946.0,BRICK,B   ,2.0,2.0,0.0,2014-08-07
SINGLE FAMILY,3725  JOHN MALLETTE DR,2015-06-01,133000.0,0.5,3529,18000.0,80500.0,102400.0,1743.0,CRAWL,1930.0,FRAME,C   ,4.0,1.0,0.0,2015-06-01
SINGLE FAMILY,3725  NEVADA AVE,2015-12-01,499900.0,0.15,1126,52000.0,422400.0,490600.0,2584.0,CRAWL,2015.0,FRAME,B   ,4.0,3.0,1.0,2015-12-01
SINGLE FAMILY,3725  PRINCETON AVE,2013-01-15,899900.0,0.27,2626,175000.0,567400.0,782300.0,3914.0,FULL BSMT,1935.0,BRICK,B   ,4.0,1.0,1.0,2013-01-15
SINGLE FAMILY,3726  CEDARWOOD DR,2016-02-03,416125.0,0.57,7327,91000.0,256100.0,347100.0,2181.0,FULL BSMT,1979.0,FRAME,B   ,2.0,2.0,0.0,2016-02-03
SINGLE FAMILY,3726  CENTRAL AVE,2015-12-16,699000.0,0.23,2626,195000.0,302900.0,497900.0,2259.0,CRAWL,1920.0,STONE,B   ,5.0,3.0,0.0,2015-12-16
SINGLE FAMILY,3726  FAULKNER DR,2015-08-20,155200.0,0.29,3927,26000.0,87600.0,113600.0,1475.0,CRAWL,1965.0,BRICK,C   ,3.0,1.0,1.0,2015-08-20
SINGLE FAMILY,3726  GRUBBS RD,2016-04-18,190000.0,0.25,3131,18000.0,137200.0,163600.0,1104.0,CRAWL,1953.0,FRAME,C   ,2.0,1.0,0.0,2016-04-18
SINGLE FAMILY,3726  NORMA DR,2013-11-22,178500.0,0.39,3131,18000.0,165000.0,183000.0,1441.0,CRAWL,1952.0,FRAME,C   ,3.0,2.0,0.0,2013-11-22
SINGLE FAMILY,3726  RICHLAND AVE,2015-05-04,535000.0,0.22,2626,195000.0,0.0,195000.0,,,,,,,,,2015-05-04
SINGLE FAMILY,3728  BAXTER AVE,2013-07-01,165000.0,0.19,7332,28200.0,110100.0,138300.0,1126.0,CRAWL,1940.0,STUCCO,C   ,2.0,1.0,1.0,2013-07-01
SINGLE FAMILY,3728  BURRUS ST,2014-08-06,316000.0,0.24,7332,30000.0,187400.0,221200.0,2430.0,FULL BSMT,1950.0,BRICK,C   ,3.0,3.0,0.0,2014-08-06
SINGLE FAMILY,3728  HILLBROOK DR,2013-06-12,122500.0,0.23,3927,26000.0,82100.0,108100.0,1434.0,CRAWL,1962.0,BRICK,C   ,3.0,1.0,1.0,2013-06-12
SINGLE FAMILY,3728  TURLEY DR,2015-06-11,147500.0,0.33,3927,26000.0,83400.0,109400.0,1422.0,CRAWL,1962.0,BRICK,C   ,3.0,1.0,1.0,2015-06-11
SINGLE FAMILY,3728  WEST END AVE,2014-04-30,1010000.0,0.46,2626,528000.0,434900.0,962900.0,3797.0,PT BSMT,1912.0,BRICK,B   ,4.0,2.0,0.0,2014-04-30
SINGLE FAMILY,3728 BRICKMONT  DR,2016-10-19,120000.0,0.25,4831,18000.0,74500.0,92500.0,1118.0,CRAWL,1986.0,BRICK,C   ,3.0,2.0,0.0,2016-10-19
SINGLE FAMILY,3728 GRUBBS  RD,2016-08-26,239500.0,0.29,3131,18000.0,123300.0,141300.0,1360.0,CRAWL,1953.0,FRAME,C   ,3.0,2.0,0.0,2016-08-26
SINGLE FAMILY,3729  CEDARWOOD DR,2015-08-31,305000.0,0.37,7327,53600.0,130300.0,183900.0,1968.0,SLAB,1980.0,FRAME/STONE,C   ,3.0,2.0,0.0,2015-08-31
SINGLE FAMILY,3729  CREEKLAND CT,2015-07-10,105900.0,0.39,3532,20000.0,82100.0,102100.0,1300.0,CRAWL,1978.0,BRICK,C   ,3.0,1.0,1.0,2015-07-10
SINGLE FAMILY,3729  MEADOWBROOK AVE,2015-06-26,675000.0,0.2,2626,175000.0,459100.0,634100.0,3027.59998,FULL BSMT,1997.0,FRAME,A   ,4.0,3.0,0.0,2015-06-26
